T,Cp
300,2.3147
305,2.3372
310,2.3603
315,2.3839
320,2.408
325,2.4326
330,2.4578
335,2.4836
340,2.51
345,2.5371
350,2.5648
355,2.5933
360,2.6227
365,2.653
370,2.6843
375,2.7169
380,2.7508
385,2.7864
390,2.8238
395,2.8636
400,2.9061
405,2.9521
410,3.0025
415,3.0585
420,3.1219
425,3.1957
430,3.2843
435,3.3955
440,3.5447
445,3.7668
450,4.1678
450.42,4.2189
450.42,4.1822
455,3.6515
460,3.3726
465,3.2118
470,3.1084
475,3.0379
480,2.9881
485,2.9524
490,2.9266
495,2.9082
500,2.8955
505,2.8871
510,2.8822
515,2.8801
520,2.8803
525,2.8825
530,2.8862
535,2.8912
540,2.8974
545,2.9046
550,2.9126
555,2.9213
560,2.9306
565,2.9405
570,2.9508
575,2.9615
580,2.9726
585,2.9839
590,2.9955
595,3.0073
600,3.0193
605,3.0315
610,3.0438
615,3.0562
620,3.0687
625,3.0813
630,3.0939
635,3.1066
640,3.1193
645,3.132
650,3.1447
